,pic_num,article
0,1_0,1. 편안한 침대는 직접 누워보고 구매하기
1,1_1,2. 지나치게 자극적인 침실 인테리어는 피하기
2,1_2,3. 내가 원하는 대로 빛을 조절하는 침실 창문
3,1_3,4. 모서리 공간을 효율적으로 사용하는 아늑한 침실
4,1_4,5. 침대 바로 옆이나 앞에는 거울을 두지 말자
5,1_5,6. 침실과 부속공간의 관계를 꼼꼼하게 생각하기
6,1_6,7. 사용자의 관점에서 꾸미는 침실 디자인 아이디어
7,1_7,1. 벨벳 아트월
8,1_8,2. 편안한 화이트 인테리어
9,1_9,3. 펜던트 램프로 개성 살리기
10,1_10,4. 콘크리트 침실 인테리어
11,1_11,5. 클래식 침실 인테리어
12,1_12,6. 콘트라스트 효과 주기
13,1_13,7. 기품을 더하는 파스텔 컬러
14,1_14,8. 벽난로가 있는 침실
15,1_15,9. 천연 소재
16,1_16,10. 옅은 배경색 + 강한 포인트색
17,1_17,11. 판상형 침대
18,1_18,12. 복고풍 인테리어
19,1_19,13. 홈 오피스와 함께한 침실
20,1_20,14. 감성을 더하는 캐노피 침대
21,1_21,15. 내추럴&모던 침실 인테리어
22,1_22,16. 기능에 초점을 둔 침실 인테리어
23,1_23,17. 침대 헤드보드가 곧 파티션
24,1_24,18. 독특한 DIY 침대
25,1_25,19. 우아한 베이지 톤 인테리어
26,1_26,20. 직접 그린 그림 달아보기
27,1_27,21. 파벽돌 & 원목 가구
28,1_28,22. 침실 파티션
29,1_29,23. 포인트를 더하는 침실 천장 조명
30,1_30,24. 독특한 침대 디자인
31,1_31,25. 간결한 미학이 깃든 침실 인테리어
32,1_32,26. 포인트 벽면
33,1_33,1. 수직으로 활용
34,1_34,2. 공간과 공간을 합치다.
35,1_35,3. 바닥의 단을 높이다.
36,1_36,4. 침대도 수납
37,1_37,5. 수납장 안에 숨은 침실
38,1_38,6. 수납장과 서랍으로 구성한 침실
39,1_39,7. 수납장 사이에 공간을 내어 만든 침실
40,1_40,1. 신체의 압력을 최대한 균등하게 배분하는 매트리스
41,1_41,2. 매트리스와 체중의 관계
42,1_42,3. 매트리스의 크기
43,1_43,4. 매트리스의 소재
44,1_44,5. 매트리스를 둘 위치
45,1_45,"6. 가능하면 직접 살펴보고, 누워 보기"
46,1_46,7. 반발력 확인
47,1_47,1. 우드로 우아하게
48,1_48,2. 빛을 반사하는 효과
49,1_49,3. 반복 패턴으로 경쾌하게
50,1_50,4. 조화로운 일체감을 담아내다
51,1_51,5. 화려한 예술적 장식
52,1_52,6. 여유로운 공간 활용
53,1_53,7. 자연 속에 있는 듯한 감성
54,1_54,8. 다양한 휴식처
55,1_55,9. 스포트 라이트 조명으로 입체감있게
56,1_56,10. 자연 채광과 우드의 하모니
57,1_57,11. 앤티크 스타일로 연출한 클래식 스타일
58,1_58,12. 유연한 스타일링 아이템
