,pic_num,article
0,2_0,자신의 요리 스타일을 고려한 수납장 디자인
1,2_1,상부장은 생략 가능 하지만 하부장은 필수!
2,2_2,동선의 흐름을 따르는 수납장 배치
3,2_3,그릇 컬렉터를 위한 디스플레이형 수납장
4,2_4,수납공간이 부족하다면 빈 벽면을 타겟으로!
5,2_5,수납장인 동시에 인테리어 소품으로. 포인트 상부장
6,2_6,1. 수납장보단 시선에 그대로 노출되는 선반 수납
7,2_7,2. 국내 아파트엔 화사한 톤의 앤티크 주방 인테리어
8,2_8,3. 셀프라서 더욱 멋스러운 DIY 가구
9,2_9,4. 풍요로운 공간을 연출하는 다양한 질감의 재료
10,2_10,5. 벼룩시장에서 구한 감성 인테리어 소품 활용하기
11,2_11,1. 북유럽 스타일에 도시 감성을 더한 주방
12,2_12,2. 러스틱 스타일의 주방
13,2_13,3. 풍부한 질감이 드러나는 주방
14,2_14,4. 모던 스타일의 흰색&회색 ㄴ자 주방
15,2_15,5. ㄷ자 대면형 주방
16,2_16,6. 개성 넘치는 주방
17,2_17,7. 인더스트리얼 스타일의 주방
18,2_18,8. 간결하고 산뜻한 주방
19,2_19,9. 빛이 가득한 주방
20,2_20,10. 동화 감성의 주방
21,2_21,1. 가족 간의 소통을 높여주는 디자인
22,2_22,2. 해방감이 있는 디자인
23,2_23,3. 기능적인 동선 관리
24,2_24,4. TV 보면서 조리할 수 있는 디자인
25,2_25,5. 인테리어 포인트
26,2_26,6. 전체적으로 긍정적인 분위기 연출
27,2_27,1. 예산은 얼마?
28,2_28,2. 어떤 스타일이 좋을까?
29,2_29,3. 당신이 원하는 주방의 모양은?
30,2_30,4. 공간은 충분한가?
31,2_31,5. 어떤 재료가 좋을까?
32,2_32,6. 식탁은 어떤 것으로?
33,2_33,7. 오픈 플랜 or 독립형 ?
34,2_34,8. 색상은 어떻게?
35,2_35,1. 콤팩트한 공간에 이상적인 주방 레이아웃
36,2_36,2. 편리한 작업 동선과 여유로운 조리대
37,2_37,3. 신선함이 있는 주방 디자인
38,2_38,4. 우아한 여성미를 담아낸 공간
39,2_39,5. 고급스러운 모던 클래식 스타일
40,2_40,6. 완벽한 자연미
41,2_41,7. 색깔로 표현한 개성
42,2_42,1. 다기능 주방으로 효율성을 높여라
43,2_43,2. 고전적인 아이디어로 승부하라. 벽면 활용법
44,2_44,3. 스마트한 시스템 주방
45,2_45,4. 선반이 있는 카운터
46,2_46,5. 수직 수납 가구
47,2_47,6. 조리대 밑 작은 틈새를 알뜰하게 활용하라
48,2_48,7. 창문 아래 채우기
49,2_49,1. 빵과 씨리얼을 서랍에 보관하기
50,2_50,2. 벽면에 조리기구 걸어두기
51,2_51,3. 천정까지 모두 쓰는 수납 공간
52,2_52,4. 소스통 선반 사용하기
53,2_53,5. 개방형 선반 사용하기
54,2_54,6. 유니크한 벽면 디자인
55,2_55,7. 자연광을 최대화하기
56,2_56,8. 아침식사 전용 바
57,2_57,세련된 모던 다이닝 키친
58,2_58,소형 아파트에 매치한 콤팩트 다이닝키친
59,2_59,두 소재간의 완벽한 하모니
60,2_60,감각적인 브루클린 스타일
61,2_61,몽환적인 미니멀리스트
62,2_62,1. 아일랜드 주방
63,2_63,2. 11자(병렬형) 주방
64,2_64,3. ㄱ자 주방
65,2_65,"4. 페닌슐라(Peninsula, 반도형) 주방"
66,2_66,5. 마주 보는 대면식 주방
67,2_67,1. 선반이 두려워 그냥 공간에 물건을 쌓아 올리는 것
68,2_68,2. 청소 관리를 생각하지 못한 것
