,pic_num,article
0,3_0,닫힘과 열림으로 완성하는 주택 외부공간 디자인
1,3_1,주차장 겸 만남의 장소가 되는 전면 외부공간
2,3_2,가족과 이웃의 소통을 위한 외부공간 아이디어
3,3_3,실내외 공간을 연결하는 현관과 토방 디자인
4,3_4,자연의 재료로 맛을 내는 기분 좋은 실내공간
5,3_5,가족의 사생활을 확보하는 남쪽 정원 디자인
6,3_6,"가족과 이웃의 쉼터, 벽난로와 반 외부 테라스 공간"
7,3_7,탁 트인 시야와 연속성이 돋보이는 생활공간
8,3_8,고양이와 부부가 어울리는 반 외부공간
9,3_9,일상 속 자연과 만나는 테라스 디자인
10,3_10,색에 대한 기초 지식
11,3_11,따뜻한 온도
12,3_12,차가운 온도
13,3_13,개성 있는 분위기를 원한다면 색상의 조합
14,3_14,톤에 대한 이해
15,3_15,"보색, 조화로운 색"
16,3_16,언덕의 장점을 살린 개방적인 외부 디자인
17,3_17,접근성과 효율성을 높이는 1층 주차공간 아이디어
18,3_18,커다란 개구부로 빛을 끌어들이는 계단과 현관
19,3_19,실내외 공간을 자연스럽게 연결하는 개구부 디자인
20,3_20,알찬 공간구성과 아늑한 분위기가 돋보이는 주방
21,3_21,계단 아래 공간을 활용하는 수납장 아이디어
22,3_22,한가로운 마을 풍경을 즐기는 복층 생활공간
23,3_23,FRP 그레이팅으로 바닥을 꾸민 2층 테라스
24,3_24,온화한 기운이 가득한 저녁의 테라스 풍경
25,3_25,가족의 일상에 유연하게 대응하는 가구 아이디어
26,3_26,기본 공간 개요 및 분위기 설정
27,3_27,비움의 미학
28,3_28,"거실과 주방, 다이닝 룸의 경계"
29,3_29,"현대적인 공간감, 주방과 다이닝 룸"
30,3_30,아늑한 침실
31,3_31,"인테리어 포인트, 자개"
32,3_32,자연의 풍경과 어우러지는 소형 단독주택 외관
33,3_33,가족의 여유와 행복을 위한 작은 마당 아이디어
34,3_34,실내외 공용공간과 구들방을 배치한 1층 평면도
35,3_35,푸근한 인상을 남기는 주택 전면 외관 디자인
36,3_36,사적인 성격의 공간을 배치한 주택 2층 평면도
37,3_37,따뜻한 분위기를 자아내는 원목 인테리어 디자인
38,3_38,사용자의 생활방식에 맞춰 꾸민 주방 인테리어
39,3_39,빛과 바람이 드나드는 개구부 디자인 아이디어
40,3_40,틈과 모서리 공간을 알차게 활용하는 인테리어
41,3_41,이웃이 편안한 마음으로 쉬었다 갈 수 있는 공간
42,3_42,"우아하고, 밝은 공간 분위기"
43,3_43,클래식한 분위기와 밝은 모던 분위기의 조화
44,3_44,바닥재와 조화를 이루는 가구 디자인
45,3_45,심플하지만 풍요로운 느낌
46,3_46,거실 내 화장실
47,3_47,안방 내 화장실
48,3_48,건물 중앙에서 세대별 공간을 연결하는 안뜰
49,3_49,자연의 소재를 듬뿍 사용한 생활공간 인테리어
50,3_50,천창으로 빛이 쏟아지는 복도 끝의 공부방
51,3_51,공간을 절약하는 붙박이 가구와 수납 아이디어
52,3_52,풍부한 빛을 끌어들이는 천창과 작은 개구부
53,3_53,공간을 유연하게 활용하는 실내 미닫이문
54,3_54,안뜰을 중심으로 온 가족이 만나는 집
55,3_55,공간감을 풍부하게 만드는 모서리 조명
56,3_56,쾌적한 실내환경을 조성하는 가구 아이디어
57,3_57,일상 속 여유를 만끽하는 테라스 디자인 아이디어
58,3_58,기본 개요 및 분위기 설정
59,3_59,주변을 조망하는 공간의 이미지
60,3_60,주변과 닮은 지붕 선
61,3_61,건축물 뒷편
62,3_62,실내 분위기
63,3_63,조명과 함께 강조되는 부피감
64,3_64,"신축, 개축, 증축 그리고 재건축의 차이는?"
65,3_65,"땅과 건물의 관계, 건폐율과 용적률은 무엇일까?"
66,3_66,"단독주택, 다세대주택 그리고 다가구주택이란?"
67,3_67,제1종 근린생활시설과 제2종 근린생활시설은?
68,3_68,건물 형태에 영향을 주는 일조사선제한
69,3_69,민법상 이격거리란 무엇일까?
70,3_70,도로와 건물의 관계를 생각한 가각전제
71,3_71,다이나믹한 금속 재질의 인테리어
72,3_72,개방적인 오픈 주방
73,3_73,기존의 틀을 벗어나는 아이템들
74,3_74,공간감을 넓혀주는 천장과 조명 디자인
75,3_75,간접 조명으로 생동감 있게
76,3_76,멋스러운 빈티지 소품들
77,3_77,닫힘과 열림으로 완성하는 주택 외부공간 디자인
78,3_78,주차장 겸 만남의 장소가 되는 전면 외부공간
79,3_79,가족과 이웃의 소통을 위한 외부공간 아이디어
80,3_80,실내외 공간을 연결하는 현관과 토방 디자인
81,3_81,자연의 재료로 맛을 내는 기분 좋은 실내공간
82,3_82,가족의 사생활을 확보하는 남쪽 정원 디자인
83,3_83,"가족과 이웃의 쉼터, 벽난로와 반 외부 테라스 공간"
84,3_84,탁 트인 시야와 연속성이 돋보이는 생활공간
85,3_85,고양이와 부부가 어울리는 반 외부공간
86,3_86,일상 속 자연과 만나는 테라스 디자인
87,3_87,색에 대한 기초 지식
88,3_88,따뜻한 온도
89,3_89,차가운 온도
90,3_90,개성 있는 분위기를 원한다면 색상의 조합
91,3_91,톤에 대한 이해
92,3_92,"보색, 조화로운 색"
93,3_93,언덕의 장점을 살린 개방적인 외부 디자인
94,3_94,접근성과 효율성을 높이는 1층 주차공간 아이디어
95,3_95,커다란 개구부로 빛을 끌어들이는 계단과 현관
96,3_96,실내외 공간을 자연스럽게 연결하는 개구부 디자인
97,3_97,알찬 공간구성과 아늑한 분위기가 돋보이는 주방
98,3_98,계단 아래 공간을 활용하는 수납장 아이디어
99,3_99,한가로운 마을 풍경을 즐기는 복층 생활공간
100,3_100,FRP 그레이팅으로 바닥을 꾸민 2층 테라스
101,3_101,온화한 기운이 가득한 저녁의 테라스 풍경
